Years_of_Experience,Education_Level,Number_of_Skills,Certifications,Projects,Resume_Score
5.0,PhD,8,4,4,81.6
6.8,Bachelor's,10,3,3,55.57
4.4,Bachelor's,11,2,1,35.91
3.9,Bachelor's,8,1,9,45.6
7.4,Bachelor's,10,2,7,60.19
4.2,PhD,20,1,3,79.42
5.6,Master's,9,2,6,55.57
5.3,Bachelor's,9,2,5,59.72
7.4,Bachelor's,8,2,5,43.23
3.5,Bachelor's,11,2,7,60.07
9.1,High School,8,1,6,15.52
2.8,Bachelor's,12,1,3,32.32
5.9,Master's,16,1,4,63.64
5.4,Master's,6,2,6,53.39
2.6,Diploma,12,2,4,28.43
6.2,Master's,15,4,7,97.82
3.7,Master's,10,0,4,39.04
2.0,Bachelor's,9,1,4,20.29
6.8,Bachelor's,6,2,5,35.48
1.4,Bachelor's,8,0,5,18.5
2.3,Master's,14,3,3,62.63
4.4,Diploma,7,0,4,21.87
7.4,Diploma,7,1,6,25.79
6.5,Bachelor's,5,2,2,24.63
5.0,High School,7,0,3,0.0
1.0,Bachelor's,10,1,5,28.12
2.7,Master's,9,4,4,61.44
3.2,Diploma,12,1,4,29.42
1.9,Bachelor's,12,1,1,29.86
0.7,PhD,15,3,5,76.63
4.5,Bachelor's,14,2,1,38.56
6.6,Bachelor's,13,4,4,55.53
3.0,Bachelor's,10,2,4,33.55
7.3,Diploma,12,2,6,56.87
1.2,Diploma,9,1,4,19.65
1.8,Master's,7,1,5,36.4
4.5,Bachelor's,8,1,3,36.91
2.8,Bachelor's,12,2,8,54.84
6.3,High School,10,1,3,16.89
5.6,Master's,8,0,2,24.27
3.0,High School,8,0,9,27.22
1.3,Master's,12,2,5,50.12
2.7,Bachelor's,7,1,5,24.84
5.7,Bachelor's,14,1,6,55.67
6.4,Bachelor's,8,4,5,66.57
2.8,Diploma,6,0,7,24.28
0.7,Bachelor's,6,2,2,13.15
1.1,Master's,7,1,1,25.44
5.4,Diploma,5,3,9,51.32
2.9,Bachelor's,12,1,3,37.19
3.0,Bachelor's,10,0,4,29.35
1.7,Bachelor's,9,0,1,0.0
1.7,Bachelor's,10,0,4,33.8
7.2,Diploma,11,3,9,54.15
5.5,Bachelor's,11,2,0,22.05
2.4,Diploma,8,0,3,0.0
4.2,Bachelor's,14,0,3,32.17
4.8,Bachelor's,8,3,3,43.81
11.3,Bachelor's,15,1,4,77.91
1.6,Bachelor's,6,0,3,14.49
4.7,Master's,10,2,4,65.95
7.2,Bachelor's,6,0,5,31.38
10.5,Master's,5,3,9,76.2
2.3,Bachelor's,12,0,1,8.54
2.9,Bachelor's,4,0,7,18.63
6.3,Diploma,13,2,7,38.16
1.0,Bachelor's,4,1,4,3.28
5.1,Master's,12,2,4,63.71
13.9,Master's,12,2,4,72.56
5.4,Bachelor's,12,1,3,30.31
0.4,Bachelor's,6,1,1,0.0
2.0,Diploma,7,1,5,21.51
2.4,High School,8,0,2,7.55
8.3,Master's,8,1,9,68.53
3.5,Diploma,8,1,3,23.62
0.7,Diploma,2,0,4,0.0
3.8,PhD,8,1,2,54.58
4.4,PhD,5,3,3,47.33
2.6,Bachelor's,7,1,3,26.89
1.7,Bachelor's,8,1,1,15.6
14.9,Master's,19,1,9,100.0
7.2,Bachelor's,10,2,8,55.5
7.6,Bachelor's,10,1,4,47.97
3.5,Bachelor's,7,0,5,12.2
2.3,Master's,12,0,3,40.65
2.7,Master's,7,1,10,42.76
1.2,Master's,7,2,4,39.79
11.2,Diploma,6,1,8,39.34
3.6,Bachelor's,4,1,4,24.06
9.6,Bachelor's,14,2,7,81.56
2.9,Master's,16,1,7,64.9
5.5,Diploma,9,1,4,27.28
4.6,Diploma,7,0,7,35.56
1.1,Master's,12,2,4,41.53
12.1,Bachelor's,14,2,9,84.87
2.9,Master's,11,5,3,66.14
1.5,Diploma,9,0,4,14.49
6.3,Master's,12,4,5,73.18
4.0,High School,5,3,3,1.27
5.1,High School,6,1,3,13.55
4.3,Bachelor's,12,4,4,46.72
0.4,Bachelor's,6,1,2,26.97
1.9,Bachelor's,11,1,2,17.6
1.8,High School,2,3,0,0.0
7.6,High School,8,6,3,44.51
4.1,Master's,6,3,6,56.63
5.7,Bachelor's,4,2,6,30.41
3.1,Master's,9,4,5,70.94
5.9,Master's,9,0,6,53.25
3.5,Diploma,6,3,3,19.57
3.3,Master's,10,3,4,56.61
4.6,Bachelor's,7,0,4,35.01
4.3,Bachelor's,6,0,4,34.71
18.0,Diploma,13,6,9,100.0
1.9,Master's,9,3,2,32.03
1.0,Bachelor's,12,1,3,19.78
5.1,Bachelor's,9,1,7,35.41
2.1,PhD,10,2,1,42.27
0.4,Bachelor's,8,0,3,13.43
1.5,Master's,12,1,7,54.17
15.5,Master's,9,4,9,100.0
1.9,Master's,12,3,5,42.05
0.7,Master's,7,1,2,23.67
14.9,PhD,21,3,13,100.0
1.5,Diploma,10,1,3,0.0
21.4,Master's,14,5,10,100.0
3.0,Master's,10,1,1,54.73
